11;20;22;L5;10.5;4147;4168;12;11;8;11;10;17;0;1;42;98.7;99.2;-0.5;1711;786;74655;37851;0.4753;0.4755;-0.5;-0.9753;0.4835;0.4824;39.5602;42.4398;0.4792;39.2924;42.7076;12;20;23;W1;11;4384;4359;15;8;5;15;12;12;2;3;43;102;101.4;0.6;1794;947;78129;38792;0.5174;0.5043;0.5814;0.064;0.5191;0.5199;42.6299;39.3701;0.5236;42.933;39.067
6;23;21;W1;8.5;4569;4434;12;10;11;11;17;14;3;4;44;103.8;100.8;3.1;1793;893;78007;39037;0.4988;0.5048;3.0682;2.5693;0.601;0.6028;49.4305;32.5695;0.6213;50.9428;31.0572;4;24;18;L2;6.5;4277;4261;16;8;8;10;15;12;2;4;42;101.8;101.5;0.3;1745;881;76025;37659;0.5017;0.5191;0.381;-0.1207;0.5125;0.513;42.0685;39.9315;0.5155;42.2673;39.7327
14;11;33;L5;10.5;4183;4536;7;17;4;16;8;20;0;1;44;95.1;103.1;-8;1804;966;78484;39445;0.5245;0.4559;-8.0227;-8.5472;0.2358;0.2447;20.0675;61.9325;0.208;17.0593;64.9407;9;19;24;W1;20.5;4199;4190;12;9;7;15;10;17;2;4;43;97.7;97.4;0.2;1776;905;77460;38433;0.5051;0.4893;0.2093;-0.2958;0.5069;0.5075;41.6118;40.3882;0.5088;41.7257;40.2743
9;22;23;L1;10;4474;4533;13;9;9;14;15;15;2;6;45;99.4;100.7;-1.3;1852;908;80466;40254;0.4936;0.4924;-1.3111;-1.8047;0.4568;0.4546;37.2745;44.7255;0.4462;36.5857;45.4143;4;28;15;W1;11.5;4513;4345;15;7;13;8;16;11;3;8;43;105;101;3.9;1771;864;77226;38284;0.4905;0.5307;3.907;3.4165;0.6286;0.6289;51.5735;30.4265;0.6516;53.4288;28.5712
7;23;22;W1;17.5;4701;4747;14;11;9;11;16;12;2;7;45;104.5;105.5;-1;1843;915;80263;40075;0.4974;0.5008;-1.0222;-1.5196;0.4663;0.4662;38.2275;43.7725;0.4599;37.7133;44.2867;13;19;26;L1;13;4416;4623;12;7;7;19;13;15;3;5;45;98.1;102.7;-4.6;1857;960;80707;40477;0.5118;0.4894;-4.6;-5.1118;0.3485;0.3459;28.3619;53.6381;0.3195;26.2028;55.7972
2;28;15;W7;3;4341;4163;14;6;14;9;20;8;5;8;43;101;96.8;4.1;1753;864;76349;37910;0.4941;0.5334;4.1395;3.6454;0.6363;0.6416;52.6127;29.3873;0.6662;54.6245;27.3755;7;23;21;L4;8.5;4200;4215;15;9;8;12;11;15;1;2;44;95.5;95.8;-0.3;1806;896;78631;39272;0.4972;0.5036;-0.3409;-0.8381;0.4888;0.4876;39.9836;42.0164;0.4853;39.7945;42.2055
6;25;20;L1;15.5;4549;4551;13;8;12;12;16;11;3;5;45;101.1;101.1;0;1849;922;80473;40051;0.4983;0.5126;-0.0444;-0.5428;0.4985;0.4985;40.8747;41.1253;0.4982;40.8513;41.1487;3;33;12;W7;7.5;4887;4503;21;5;12;7;23;4;5;9;45;108.6;100.1;8.5;1854;873;80709;39794;0.4783;0.542;8.5333;8.0551;0.781;0.7574;62.1045;19.8955;0.7942;65.1223;16.8777
1;40;4;W3;0;5048;4514;20;0;20;4;24;2;4;8;44;114.7;102.6;12.1;1789;855;77994;37928;0.4807;0.5878;12.1364;11.6557;0.8996;0.8257;67.7051;14.2949;0.8635;70.8086;11.1914;5;23;20;L1;8;4417;4299;13;6;10;14;15;9;1;4;43;102.7;100;2.7;1779;889;77499;38603;0.4992;0.5081;2.7442;2.245;0.5904;0.5931;48.6315;33.3685;0.6099;50.0098;31.9902
15;9;36;L5;31.5;4331;4778;5;15;4;21;3;26;0;1;45;96.2;106.2;-10;1877;932;81608;41705;0.5014;0.426;-9.9333;-10.4347;0.1729;0.2032;16.664;65.336;0.1651;13.539;68.461;2;38;6;W13;2;4587;3949;24;0;14;6;21;3;5;10;44;104.2;89.8;14.5;1822;856;82374;40366;0.4766;0.5733;14.5;14.0234;0.9774;0.8893;72.9194;9.0806;0.9221;75.6115;6.3885
3;8;3;W2;1.5;1155;1094;4;2;4;1;6;3;3;7;11;105;99.5;5.5;122;58;1489;738;0.4822;0.5434;5.5455;5.0633;0.6826;0.6802;55.7775;26.2225;0.71;58.2183;23.7817;2;9;3;L1;1;1282;1180;6;1;3;2;7;2;4;7;12;106.8;98.3;8.5;123;56;1506;738;0.4669;0.5377;8.5;8.0331;0.7799;0.7601;62.3283;19.6717;0.7971;65.3582;16.6418
